review_id,reviewContent,rating,reviewTime,buyerName,skuInfo,images,likeCount
,"Dễ dàng rửa sạch, Làm dịu da đầu bị kích ứng, Phù hợp cho sử dụng hàng ngày, Nhẹ nhàng trên da đầu,",5,21 Jul 2025,091*68,Thể tích (ml):240,"[{'title': None, 'url': 'https://lzd-u.slatic.net/b770bb1cd3984957a66cf4ef20f91d34_c152e7808d374d1e85f155ac0b9b458b.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",1
,"Giải quyết các vấn đề về da đầu, Giảm ngứa da đầu, Shop Giao hàng  đúng hẹn. sản phẩm khóa ok.",5,26 Jul 2025,Phạm Tèo,Thể tích (ml):240,"[{'title': None, 'url': 'https://lzd-u.slatic.net/22a041590c2349ec9b3e77aab6555e0f_d4d509ed789748ff9b43b6e89fcfdf03.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/efefd35591614838abee8157acbf4bfa_71b7546bcee746f5830791bef7273e29.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",2
,"chưa dùng nên không bt hiểu quả thế nào,hy vọng giống quảng cáo, shop đóng gói cẩn thận 👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌",5,25 Jul 2025,Võ thanh Ngọc,Thể tích (ml):240,"[{'title': None, 'url': 'https://lzd-u.slatic.net/c0fb298629704e829657d607a8320863_24a02a4f22ea47bebe174d7abc279c34.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/c0fb298629704e829657d607a8320863_d7d731194f8e4901a815f4fb8443d58c.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",2
,"Hiệu quả:  chưa bietLàm tóc mềm mại và dễ quản lý, Dễ dàng rửa sạch, Giải quyết các vấn đề về da đầu, Hiệu quả chống gàu, Làm tóc mềm mại và dễ quản lý, Dễ dàng rửa sạch, Giải quyết các vấn đề về da đầu, Hiệu quả chống gàu,",5,26 Mar 2025,Thanh Lan,Thể tích (ml):240,"[{'title': None, 'url': 'https://lzd-u.slatic.net/2547ea1af5ba4f5488a8e70e75109adc_1_1742971497.136834.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"Dưỡng ẩm da đầu, Làm dịu da đầu bị kích ứng, Giải quyết các vấn đề về da đầu, Phù hợp cho sử dụng hàng ngày, Giảm ngứa da đầu,",5,04 Apr 2025,Pham Duc Dung,Thể tích (ml):240,"[{'title': None, 'url': 'https://lzd-u.slatic.net/47090eb6747f497c8fd2885c2ae53e51_503558a118284049a202270a34bd163f.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",2
,"Cũng bình thường gội 3 lần vẫn chưa thấy đỡ, thấy quảng cáo nhiều nên mua về gội thử nhưng thực sự không ăn thua lắm",5,20 Mar 2025,Phạm Tùng,Thể tích (ml):240,"[{'title': None, 'url': 'https://lzd-u.slatic.net/86a9dba7296e434f99f2483a263eea1c_7_1742482024.021890.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",2
,"Phù hợp cho sử dụng hàng ngày, Hương thơm lâu dài, Không làm nặng tóc, Làm tóc mềm mại và dễ quản lý,",5,13 Sep 2024,T***u,Thể tích (ml):240,"[{'title': None, 'url': 'https://lzd-u.slatic.net/55ccb4c9d27943b1823329363470f7fd_1_1726246701.347263.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"Giảm ngứa da đầu, Nhẹ nhàng trên da đầu, Làm dịu da đầu bị kích ứng, Giúp ngăn ngừa tóc gãy,",5,28 Sep 2024,Trương mỹ linh,Thể tích (ml):240,"[{'title': None, 'url': 'https://lzd-u.slatic.net/e613d6df9fb14d1eb8b95b0d7fc01e34_503086d90e5344c29c6e202841e5ebd3.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"sẽ đánh giá chất lượng sau khi sử dụng, giáo hàng đúng hẹn , shipper thân thiện, cho shop ngàn sao luôn 😄",5,27 Mar 2025,Trần Biên,Thể tích (ml):240,"[{'title': None, 'url': 'https://lzd-u.slatic.net/c2a141b30dcc422ca6f088c75c5a9f39_2e2ab2326a0444fdb6b83f7f3563afb3.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/fe6b53adc5674b91bb69b3dc860b8d0d_3e9aec3a8c7e4da38ff103d564ca9e82.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/c2a141b30dcc422ca6f088c75c5a9f39_d5038bb196ca4c9a967c6567d90c98c6.jpg', 'sort': 2, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",2
,"Giải quyết các vấn đề về da đầu, Giúp ngăn ngừa tóc gãy, Giúp ngăn ngừa tóc gãy, Làm dịu da đầu bị kích ứng,",5,15 Sep 2024,*******396,Thể tích (ml):240,"[{'title': None, 'url': 'https://lzd-u.slatic.net/a92f113bdffd422abcb71d552db3b127_1_1726414052.586139.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
