reviewContent,Chất lượng sản phẩm,Hiệu năng & Trải nghiệm,Đúng mô tả,Giá cả & Khuyến mãi,Vận chuyển,Đóng gói,Dịch vụ & Thái độ Shop,Bảo hành & Đổi trả,Tính xác thực
"giày đúng như hình . so với giá tiền thì rất là tốt . tặng shop 5 sao nhé . tặng a giao hàng 5 sao chúc mọi người mạnh khỏe không ai bị f0 nữa , ăn têt vui vẻ nhé cả nhà","[-1,1]",2,1,1,1,2,1,2,2
"giày giống trong hình trông hơi bé nhưng đi lại vừa , anh síp nhanh",-1,1,"[-1,1]",2,1,2,2,2,2
tốt,1,2,2,2,2,2,2,2,2
hàng đẹp giao nhanh dung size đung mẫu sẽ ủng hộ shop nhiều shiper thái độ tốt cho shop 5 sao,1,1,0,2,1,2,1,2,2
"thấy giày đẹp , khá là giống hình , chưa sử dụng thử , hi vọng xài bền tí , nói chung là bề ngoài thì sản phẩm tốt lắm","[-1,1]",1,1,2,2,2,2,2,2
hàng chất lượng,1,2,2,2,2,2,2,2,2
giày chất da mịn đẹp,1,2,2,2,2,2,2,2,2
giày đẹp giống hình giá thành vậy thì rẻ đẹp còn chất lượng thì đi nhiều mới biết được lần sau sẽ ủng hộ shop tiếp,1,0,1,1,2,2,0,2,2
hàng đúng như hình . fdjkxbhjsjxhsbsiahaukdbxhiaindjxnjxiksnxjajdbxhchjdbdnkdoqjhshydifnbfhekjdbdhsndmsndbhagagsvhskjdnxnjdhdhwoksnxnx,"[-1,1]",2,1,2,2,2,2,2,2
giày đẹp nhưng e đặt lộn size rồi ạ shop có thể đổi không ạ,"[-1,1]",2,"[-1,1]",2,2,2,0,-1,2
sản phẩm tốt,1,2,2,2,2,2,2,2,2
hàng đẹp,1,2,2,2,2,2,2,2,2
đặt số 42 mà lại giao số 43,2,2,2,2,0,2,2,2,2
hàng tốt chất lượng tốt mọi người nên mua shiper vui tính . ghlbnklfdufsyjfdtyuydyugdyujkj,1,2,2,2,1,2,2,2,2
dep . nen mua,1,2,2,2,2,2,2,2,2
giày đúng với hình ảnh và rất đẹp còn giao hàng nhanh nữa nên cho shop 5 sao,1,1,1,2,1,2,1,2,2
tốt như jdjdjdudirjeiwiwowkwksodckfnfjfhfudisjwkwkozixurjrjfudiejdjdjedk,1,2,2,2,2,2,2,2,2
hơi lỗi size 1 tí nhưng vẫn mang được không hơi lỗi size 1 tí nhưng vẫn mang được không hơi lỗi size 1 tí nhưng vẫn mang được không hơi lỗi size 1 tí nhưng vẫn mang được không hơi lỗi size 1 tí nhưng vẫn mang được không hơi lỗi size 1 tí nhưng vẫn mang được không,2,-1,"[-1,1]",2,2,2,2,-1,2
hàng tốt,1,2,2,2,2,2,2,2,2
hàng tốt,1,2,2,2,2,2,2,2,2
ưng ý lắm nha mọi người . nên mua nha mọi người oi . thấy cưng lắm,1,2,2,2,2,2,2,2,2
tốt . trong tầm giá,2,2,2,1,2,2,2,2,2
giày đẹp đúng size đúng mẫu,1,2,1,2,2,2,2,2,2
hàng như hình,-1,2,2,2,2,2,2,2,2
giày đẹp như trong hình nhưng cần đóng hộp cho lịch sự xíu,"[-1,1]",2,2,2,2,-1,2,2,2
hàng tạm được,0,2,2,2,2,2,2,2,2
"đã nhận được hàng . giầy đẹp , đúng size . cho shop 5",1,2,1,2,2,2,0,2,2
hàng đẹp giống như hình nên mua giao hàng nhiệt tình vui tính,"[-1,1]",2,1,2,1,2,1,2,2
giày thì đẹp nhưng mà đặt số 43 sao mang nó nhỏ thế shop,"[-1,1]",0,2,2,2,2,0,2,2
đã mua đôi thứ 2 ! rất hài lòng,1,2,2,2,2,2,2,2,2
hàng tốt phù hợp với giá tiền shiper thân thiện,1,1,2,1,1,2,2,2,2
chất liệu không như mong muốn,2,2,2,2,2,2,2,2,2
đổi eu rồi mà vẫn bị chật . tầm giá này nên tạm được,2,2,2,0,2,2,2,0,2
mọi người có ý định mua nên tăng thêm một kích cỡ . mình đi chọn số đều kích hơn bình thường,2,0,2,2,2,2,2,2,2
nói chung hàng đúng mẫu mã . nhung chất liệu cứng . tiền nào của đó,-1,2,1,0,2,2,2,2,2
đi cứng và đau chân,-1,-1,2,2,2,2,2,2,2
đặt màu đen lại gửi màu trắng quá tệ,2,2,0,2,2,2,-1,2,2
phần lót giày bằng giấy nên thấm nước nó bị rách và chỉ còn phần đế mang đau chân nhắn tin shop xem không trl,-1,-1,2,2,2,2,-1,2,2
sản phẩm bị rách đế,-1,2,2,2,2,2,2,2,2
mới mang 1 ngày đã bung đế,-1,0,2,2,2,2,2,2,2
các mảnh nam châm đảm bảo sự ổn định trong khi chơi . thiết kế mượt mà và phong cách . dễ dàng mang theo và thân thiện với du lịch . có nhiều kích cỡ khác nhau cho các sở thích khác nhau,1,1,2,2,2,2,2,2,2
"thật sự rất xứng đáng với số tiền bỏ ra , sản phẩm rất đẹp đặc biệt là với những người đam mê cờ vua như tui , giá cả hợp lí , tuy giao hàng có hơi chậm một chút nhưng không vấn đề gì , tổng thể : với những người chơi cờ vua thì sản phẩm này rất đáng mua","[-1,1]","[-1,1]",2,1,-1,2,2,2,1
giá cả : hợp lý chất lượng : ổn kích thước : mua loại vừa . mà nhìn nó mini quá . lần sau chắc phải mua cỡ lớn nhất,"[-1,1]",2,2,1,2,2,2,2,2
các mảnh nam châm đảm bảo sự ổn định trong khi chơi . dễ dàng mang theo và thân thiện với du lịch . thiết kế mượt mà và phong cách,1,1,2,2,2,2,2,2,2
dễ dàng mang theo và thân thiện với du lịch . lựa chọn bàn cờ nhựa hoặc gỗ bền chắc . có nhiều kích cỡ khác nhau cho các sở thích khác nhau,1,1,2,2,2,2,2,2,2
"bàn cờ đẹp . đóng gói cẩn thận . giao hàng tốt . nhưng khi mở bàn cờ thấy mấy bọc ni long chứa quân cờ bị rách , một quân cờ rớt nắp đít nhưng không sao . sản phẩm tốt . hài lòng . đáng mua","[-1,1]",2,2,2,1,"[-1,1]",2,2,2
hàng không bị móm méo giao hàng nhanh,-1,"[-1,1]",2,2,1,2,2,2,2
khá ổn bàn khá to đẹp nữa giao hàng nhanh nhưng hàng của mình bị gãy mất con tượng,"[-1,1]","[-1,1]",2,2,1,2,2,2,2
có nhiều kích cỡ khác nhau cho các sở thích khác nhau . lựa chọn bàn cờ nhựa hoặc gỗ bền chắc . hoàn hảo cho mục đích giáo dục,1,2,2,0,2,2,2,0,2
chất lượng : dởm kiểu dáng : xấu giá cả : phí giao hàng mắc độ bền : dễ hư độ an toàn : cũng độ bền : không bền tính di động : khôngcác mảnh nam châm đảm bảo sự ổn định trong khi chơi . có sẵn trong nhiều màu sắc hấp dẫn . mất miếng nam châm không hút được hư,"[-1,1]","[-1,1]",0,-1,0,2,2,2,2
có nhiều kích cỡ khác nhau cho các sở thích khác nhau . dễ dàng mang theo và thân thiện với du lịch,2,1,2,2,2,2,2,2,2
tuyệt vời cho sự gắn kết gia đình và những đêm chơi game . lựa chọn bàn cờ nhựa hoặc gỗ bền chắc,1,1,2,2,2,2,2,2,2
shop uy tín . giao hàng đúng yêu cầu . nhanh chóng . chất lượng . như hình quảng cáo,"[-1,1]",1,1,2,1,2,1,2,2
